2018-02-20-18:24:25 [DEBUG] Initializing the Model
2018-02-20-18:24:25 [DEBUG] Initializing Linear Layer
2018-02-20-18:24:25 [DEBUG] Initializing BatchNormalization Layer
2018-02-20-18:24:25 [DEBUG] Initializing ReLU Layer
2018-02-20-18:24:25 [DEBUG] Initializing Linear Layer
2018-02-20-18:24:25 [DEBUG] Initializing BatchNormalization Layer
2018-02-20-18:24:25 [DEBUG] Initializing ReLU Layer
2018-02-20-18:24:25 [DEBUG] Initializing Linear Layer
2018-02-20-18:24:25 [DEBUG] Initializing Criterion Layer
